source_task,family,work_type,criterion_id,criterion_title,reference_fragment,source_files,compiler_discrimination,review_status,review_notes
contracts/commercial-vendor-customer/saas-api-subscription-first-draft/scenario-04,contracts,contracting,C-034,Scheduled maintenance window Saturdays 2:00 AM–6:00 AM ET excluded from Downtime,AM ET,chainsight-platform-documentation-summary.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-draft/scenario-04,contracts,contracting,C-109,Data export in CSV and JSON for 60 days post-termination in main agreement,Customer Data | CSV and JSON | 60 days,chainsight-platform-documentation-summary.docx | engagement-email-linden-to-miklos.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-draft/scenario-05,contracts,contracting,C001,"Kettlebridge Systems, Inc. identified by full legal name","Kettlebridge Systems, Inc",ai-addendum-template.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-draft/scenario-05,contracts,contracting,C011,"Annual platform access fee of $840,000 invoiced quarterly in advance","$840,000",commercial-term-sheet.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-draft/scenario-05,contracts,contracting,C031,Arctos aggregate liability cap at greater of $15M or 3× trailing 12-month fees,"$15,000,000",commercial-term-sheet.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-01,contracts,contracting,C-005,HIPAA-compliant de-identification per 45 C.F.R. § 164.514(b),§ 164.514(b),cognivance-first-markup.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-02,contracts,contracting,C-004,Late-payment interest accepted at 1.0%/month with statutory cap,1.0%,forwarding-email-priya-to-marcus.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-02,contracts,contracting,C-007,Burst allowance countered at 175%,200% | 175%,forwarding-email-priya-to-marcus.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-02,contracts,contracting,C-051,Cover note: correct addressees and matter references,Marcus Trevino | Sandra Yuen,forwarding-email-priya-to-marcus.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-02,contracts,contracting,C-060,Auto-renewal provision unchanged,90 days | 3 years,forwarding-email-priya-to-marcus.eml | schedule-a-pricing-and-usage-tiers.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-03,contracts,contracting,C-010,Retain 'material compliance' warranty — reject 'full compliance',material compliance | s proposed,instruction-email-engel-to-associate.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-04,contracts,contracting,C-006,Set acceptance testing period to 20 business days,20 business days,crestline-saas-negotiation-playbook.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-04,contracts,contracting,C-066,No concession beyond playbook fallback on SLA/security cure period,20 days,crestline-saas-negotiation-playbook.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-first-turn-redline/scenario-05,contracts,contracting,C023,Seat of arbitration in Chicago proposed in Section 20.1,Section 20.1,ashworth-hale-transmittal.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-001,Memo addressed to Marcus T. Hale (CLO) as co-approver,Marcus T. Hale,deal-summary-and-financials.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-036,"July 18, 2025 exclusivity/LOI expiration identified as material timeline constraint","July 18, 2025",deal-summary-and-financials.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-045,"AI Procurement Policy v2.1 (effective March 1, 2025) cited as controlling authority","Luminos's AI Procurement Policy | March 1, 2025",deal-summary-and-financials.xlsx | luminos-ai-governance-framework.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-047,Aggregate Risk Assessment synthesizes cumulative exposure across all five terms,Aggregate Risk Assessment,escalation-approval-memo-template.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-052,"Target delivery date of July 3, 2025 stated","July 3, 2025",deal-summary-and-financials.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-01,contracts,contracting,C-056,"June 27, 2025 escalation review meeting referenced with attendees","June 27, 2025 | Sandra K. Fujimoto | Derek Okonkwo | Ellen Tanaka",deal-summary-and-financials.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-003,Memo addressed to Martin Calloway (CFO),Martin Calloway,escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-014,Term #1 — Uninsured tail risk beyond $20M cyber insurance aggregate quantified,$20M | $500K,escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-016,"Term #2 — Peregrine's position: 99.99% uptime, 15% credit per 0.01% shortfall, uncapped",99.99% | 15% | 0.01%,escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-017,"Term #2 — Playbook standard: 99.95%, 5% per 0.05%, capped at 30% = $120K/month",99.95% | 5% | 0.05% | 30%,cascade-deal-term-sheet.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-020,Term #2 — Estimated $270K credit exposure under Peregrine's terms vs. $0 under playbook,"$270,000 | $0",cyberedge-audit-cost-summary.xlsx | escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-023,"Term #3 — Playbook fallback: de-identified aggregated data retention post-termination for internal analytics only, no ML training, VP Product approval",VP Product,escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-030,"Term #5 — Peregrine's position: 2 on-site audits/yr with source code review, Vantage sole cost, 10 business days' notice",10 business days,cyberedge-audit-cost-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-032,"Term #5 — Playbook fallback: 2 audits/yr (1 remote, 1 on-site), 30 days' notice, $50K/audit cap, no source code, VP Legal approval",30 business days | $50K | VP Legal,cyberedge-audit-cost-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-02,contracts,contracting,C-033,Term #5 — Cost quantification: $170K–$220K/yr under Peregrine's terms vs. $100K/yr playbook max,"$170,000 | $220,000 | $100,000",cyberedge-audit-cost-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-03,contracts,contracting,C-031,Term #4: Current per-record-month rate of approximately $0.00112,$0.00112,forwarding-email-priya-to-sandra-derek.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-04,contracts,contracting,C-007,"Deal summary: 600 seats at $2,400/seat/year","$2,400",escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-04,contracts,contracting,C-045,Signature/approval block for David Kowalski (VP of Procurement),David Kowalski | VP of Procurement,escalation-request-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-05,contracts,contracting,C001,"Memo addressed to David Okonkwo, Chief Legal Officer",David Okonkwo | Chief Legal Officer,ai-procurement-policy.docx | board-project-approval-memo.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-playbook-escalation/scenario-05,contracts,contracting,C018,"AI output indemnity: per-claim cap of $2,000,000 proposed vs. $5,000,000 fallback floor","$2,000,000 | $5,000,000",ai-procurement-policy.docx | redline-transmittal-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-01,contracts,contracting,C-050,"3-year initial term preserved (July 1, 2025 – June 30, 2028)","July 1, 2025 | June 30, 2028",business-negotiation-email-thread-may-5-6.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-02,contracts,contracting,C-032,Dispute resolution: Quartex's tiered proposal noted,Quartex's April,bridgepoint-data-licensing-negotiation-guidelines.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-02,contracts,contracting,C-052,Issues list includes indemnity cap at 1.5× as Bridgepoint proposal pending Quartex response,trailing-12,april-4-negotiation-call-notes.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-02,contracts,contracting,C-058,Historical backfill: 36 months (June 2022 – May 2025),2022 | 2025,april-4-negotiation-call-notes.docx | data-licensing-agreement-v1-quartex-draft.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-02,contracts,contracting,C-086,"Permitted Use scope: internal analytics, model training, Derived Data in platform outputs",Permitted Use | Derived Data | Bridgepoint Insight Platform,april-4-negotiation-call-notes.docx | bridgepoint-data-licensing-negotiation-guidelines.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-03,contracts,contracting,C-021,Transition period countered at 90 days at no charge,90 days,forwarding-email-round-3-assignment.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-subsequent-turn-redline/scenario-03,contracts,contracting,C-029,Issue 1 (SLA credits) marked as agreed/resolved,15%,forwarding-email-round-3-assignment.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-01,contracts,contracting,C-031,Termination rationale: explains why flat 50%/75% ETF is economically prohibitive,50%,contested-terms-matrix.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-02,contracts,contracting,C-019,IP: Consumer retains sole ownership of Consumer Derived Outputs,Consumer Derived Outputs | FleetPulse Optimization Engine,api-access-and-use-agreement-calibrix-redline-v3.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-02,contracts,contracting,C-023,IP: telemetry license-back includes opt-out mechanism for re-identification risk,End Users,api-access-and-use-agreement-calibrix-redline-v3.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-03,contracts,contracting,C-018,"Section 9.4: Super Cap at up to 2× TCV ($25,200,000), mutual","Section 9.4 | Super Cap. The | $12,600,000",chandrasekaran-to-whitfield-instructions.eml | meridian-data-partnership-playbook.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-04,contracts,contracting,C-006,Super Cap covers data security/privacy breaches,Super Cap,data-processing-addendum-exhibit-c.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-04,contracts,contracting,C-031,Regulatory fines subject to Super Cap (not uncapped),Super Cap,data-processing-addendum-exhibit-c.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/saas-api-subscription-term-negotiation/scenario-04,contracts,contracting,C-058,Security Incident definition excludes unsuccessful attack attempts,Security Incident,data-processing-addendum-exhibit-c.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-draft,contracts,contracting,C-022,"MRC component — Managed Network & Security $58,000/mo","$58,000",email-ashford-to-marchand-sla-drafting.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-draft,contracts,contracting,C-030,"Tier 2 credit band 1: 99.00%–99.499% → 5% ($4,650)","99.00% | 99.499% | 5% | $4,650",email-ashford-to-marchand-sla-drafting.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-draft,contracts,contracting,C-044,Network packet loss ≤ 0.1% monthly average,0.1%,email-ashford-to-marchand-sla-drafting.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-draft,contracts,contracting,C-068,"Current ISO 27001 certificate details (IS-740281, valid through March 15, 2027)","IS-740281 | March 15, 2027",email-ashford-to-marchand-sla-drafting.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-turn-redline,contracts,contracting,C-036,Document reference: WAB/CT-2025-00387 referenced,CT-2025,crestwood-first-markup-sla.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-first-turn-redline,contracts,contracting,C-038,Parties correctly identified with full legal names and entity types,Helios Digital Solutions | LLC and Crestwood Financial Group,competitor-schedule-draft.docx | pre-approved-pentest-vendors.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-playbook-escalation,contracts,contracting,C-005,Three-column comparison table for Uptime Commitment,99.5% | 99.9% | 99.95%,calderbank-account-briefing.pptx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-playbook-escalation,contracts,contracting,C-018,"Dedicated 3-FTE SRE pod at $585,000/yr","FTE SRE | $585,000",calderbank-account-briefing.pptx | engineering-feasibility-assessment.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-playbook-escalation,contracts,contracting,C-020,"Worst-case prepaid fee refund of $38,160,000","$38,160,000",deal-economics-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/service-level-agreement-playbook-escalation,contracts,contracting,C-037,"Total incremental SLA cost of $970,000/yr ($385K + $585K)","Calderbank's SLA | $970,000 | $385,000 | $585,000",calderbank-account-briefing.pptx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-009,One-way consequential damages identified as High Risk,§9 | High Risk,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-012,SLA credits — Cap at 10% recommended,10%,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-017,One-way indemnification identified as High Risk,§8 | High Risk,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-028,Data security / missing DPA flagged as deviation,§12,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-037,"Correct total count of risk-rated items: 7 High, 4 Medium, 3 Low (14 total)",High Risk | Medium Risk | Low Risk,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-039,Sandra Yoo escalation requirement noted for High Risk items,High Risk,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-counterparty-paper-review,contracts,contracting,C-046,Redline proposes DPA exhibit replacing §12 vague language,industry-standard security | §12 | Type II | AES-256,engagement-email-nandakumar-to-calloway.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-009,Four named pilot hospitals with locations,Caldwell Memorial Hospital | Caldwell Chesapeake Medical Center | Caldwell Northern Virginia Hospital | Caldwell Capital Region Hospital,ccip-technical-requirements-summary.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-013,"Total Fixed Fee stated as $8,640,000","Total Fixed Fee | $8,640,000",ccip-technical-requirements-summary.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-020,M5 target date and description correct,"March 31, 2026 | UAT Complete",ccip-technical-requirements-summary.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-024,Retainage released upon Final Acceptance,Final Acceptance,ccip-technical-requirements-summary.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-032,"Expense cap of $432,000 (5% of Total Fixed Fee)","$432,000",deal-terms-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-085,Change-order: written COR from either party,Change Order Request,msa-cnhs-verdantis-executed.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-draft,contracts,contracting,C-098,Caldwell copy-to: Tanya Brevard at Brevard Hargrove LLP,Tanya Brevard | Brevard Hargrove LLP | K Street NW,ccip-technical-requirements-summary.docx | deal-terms-summary.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-turn-redline,contracts,contracting,C-001,"Phase 2 fixed fee restored at $1,820,000","$1,820,000 | sow-2025",dana-whitfield-negotiation-guidance.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-turn-redline,contracts,contracting,C-014,Acceptance period set to 10 business days,10 business days | 5 business days,dana-whitfield-negotiation-guidance.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-turn-redline,contracts,contracting,C-037,3 P1 SLA breaches in rolling 30-day period constitute material breach,P1 SLA,dana-whitfield-negotiation-guidance.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-first-turn-redline,contracts,contracting,C-038,Governing law — Delaware (consistent with MSA),prismara-2025,dana-whitfield-negotiation-guidance.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-playbook-escalation,contracts,contracting,C002,Liability cap — identifies 50% proposed cap vs. 100% policy floor,50% | 100%,ctp-legal-pol-009-contracting-policy.docx | hargrove-outside-counsel-review.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/statement-of-work-term-negotiation,contracts,contracting,C-025,"LoL rationale references MSA default cap (~$4,840,000 at run-rate)",100% | 12 months,crestline-term-sheet-counterproposal.docx | engagement-instruction-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-01,contracts,contracting,C-020,Redline revises payment terms,15 days | 45 days,thornfield-outside-counsel-playbook-v4-2.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-01,contracts,contracting,C-021,Memo flags absence of LEDES 1998B XML billing format,§5.1,master-warehouse-services-agreement.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-01,contracts,contracting,C-052,Redline inserts audit rights provision,10 business days,master-warehouse-services-agreement.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-03,contracts,contracting,C-008,Service credit per-incident cap deviation flagged — 5% vs. 10%,5% | 10%,bhn-technology-contracting-playbook-v6-1.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-03,contracts,contracting,C-019,Liability cap deviation flagged as high risk with quantified gap,"$1,080,000 | $4,320,000",bhn-technology-contracting-playbook-v6-1.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-03,contracts,contracting,C-031,Insurance gap — Professional liability/E&O $1M vs. $5M flagged,"$1,000,000 | $5,000,000",bhn-technology-contracting-playbook-v6-1.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-03,contracts,contracting,C-052,SOC 2 exceptions referenced — access review timeliness,Type II,bhn-technology-contracting-playbook-v6-1.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-04,contracts,contracting,C-038,Uptime SLA: 99.5% capped credits vs. 99.95% uncapped credits with termination right,99.5% | 5% | 99.95% | 99.0%,castlepoint-pricing-proposal-summary.xlsx | castlepoint-vendor-agreement.docx | forwarding-email-from-marcus-leung.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-05,contracts,contracting,C004,"Memo identifies full-day advisory-board honorarium deviation ($8,500 Draft vs. $6,000 Playbook max)","$8,500 | $6,000",draft-physician-engagement-agreement.docx | fmv-assessment-report.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-counterparty-paper-review/scenario-05,contracts,contracting,C024,Memo identifies missing Background IP definition,Background IP,draft-physician-engagement-agreement.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-008,Required regulatory approvals listed,UK MHRA | HSR Act | UK CMA,deal-summary-memo.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-012,Sandra Yuen-Nakamura listed as Lead Transaction Partner,Key Personnel | Sandra Yuen-Nakamura | Lead Transaction Partner,deal-summary-memo.docx | gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-020,Discounted Senior Associate rate range: $562.50–$702/hour,$562.50 | $702,gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-021,Discounted Junior Associate rate range: $382.50–$486/hour,Junior Associate | $382.50 | $486,gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-024,"Soft fee cap of $1,850,000 through closing","$1,850,000",gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-025,Overage above soft cap requires GC written pre-approval,"$1,850,000 | Verdantis's General Counsel",deal-summary-memo.docx | gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-057,KFA matter/billing number KFA-701192.001 referenced,KFA-701192.001,gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-01,contracts,contracting,C-059,Exhibit B referenced as Rate Card,Exhibit B | Rate Card,gc-engagement-instructions.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-02,contracts,contracting,C-012,"Maximum aggregate compensation of $37,050.00","$37,050.00",compliance-guidance-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-02,contracts,contracting,C-016,"Estimated maximum aggregate expenses of $12,000","$12,000.00",compliance-guidance-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-02,contracts,contracting,C-019,"Expiration Date of April 30, 2026 (twelve-month term)","April 30, 2026",compliance-guidance-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-02,contracts,contracting,C-029,Prescriber-volume firewall: 78th percentile flag and enhanced controls,Dr. Nagarajan's,compliance-guidance-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-02,contracts,contracting,C-035,Sunshine Act compensation categorized as 'Consulting Fee',Consulting Fee | CMS Open Payments,compliance-guidance-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-003,"Effective Date is July 1, 2025","July 1, 2025",deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-011,"Clean-claim payment deadline: 30 days electronic, 45 days paper",30 calendar days | 45 calendar days,deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-022,Recredentialing every 36 months per NCQA standards,36 months,deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-032,Individual malpractice insurance: $1M/$3M,"$1,000,000 | $3,000,000",baa-template.docx | deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-033,Corporate professional liability: $5M/$10M,"$5,000,000 | $10,000,000",baa-template.docx | deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-062,Provider Group notice address correct,Provider Group | Managing Partner | Ridgeline Medical Parkway,deal-terms-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-066,Health Plan NAIC Number 87254 included,Health Plan NAIC Number,pinnacle-fee-schedule-excerpt.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-067,Provider Group NPI 1497253810 included,Provider Group NPI,pinnacle-fee-schedule-excerpt.xlsx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-03,contracts,contracting,C-073,"Signature block for MedVantage: Dr. Anita Ravishankar, MD, FACP, Managing Partner & CMO",Dr. Anita Ravishankar | Managing Partner & CMO | MedVantage Health Partners,deal-terms-email.eml | executed-term-sheet.docx,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-04,contracts,contracting,C-015,"Phase 1 milestone total equals $2,400,000","$2,400,000",engagement-instructions-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-04,contracts,contracting,C-017,"Phase 2 annual fee of $1,050,000","$1,050,000",engagement-instructions-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-04,contracts,contracting,C-036,"Retained license excludes specific Project IP, Client Data, and Client Confidential Information",Project IP | Client Data | Client Confidential Information,approved-subcontractors-list.docx | engagement-instructions-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-04,contracts,contracting,C-045,"General liability cap: greater of $5,550,000 or 12-month fees","$5,550,000 | 12 months",engagement-instructions-email.eml,reference_passes;corrupted_fails,,
contracts/commercial-vendor-customer/vendor-services-agreement-first-draft/scenario-04,contracts,contracting,C-055,Insurance: CGL $2M per occurrence / $4M aggregate,"Commercial General Liability | $2,000,000 | $4,000,000",cascade-risk-and-compliance-requirements.docx,reference_passes;corrupted_fails,,
